file	energy	H-bond
md_410k_snap_149.com	-798.8121268354097	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O47
md_410k_snap_150.com	-800.729071545945	N120-H122_O28,N19-H130_N115,O1-H123_O47,O48-H127_O70
md_410k_snap_151.com	-799.7431296004993	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O47,O48-H127_O70
md_410k_snap_152.com	-800.9981842837888	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O47,O48-H127_O70
md_410k_snap_153.com	-801.1279322998051	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O47,O48-H127_O70
md_410k_snap_154.com	-800.5660836307648	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O47,O48-H127_O70
md_410k_snap_155.com	-801.1446523419426	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O47,O48-H127_O70
md_410k_snap_156.com	-801.7866920813844	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O47,O48-H127_O70
md_410k_snap_157.com	-803.601294919299	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O47,O48-H127_O70
md_410k_snap_158.com	-803.4432590823815	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O47,O48-H127_O70
md_410k_snap_159.com	-803.6404535943564	N120-H122_O28,N19-H130_N115,O1-H123_O47
md_410k_snap_160.com	-803.7204506239818	N120-H122_O28,N19-H130_N115,O1-H123_O47
md_410k_snap_161.com	-801.9323444468653	N120-H122_O28,N19-H130_N115,O1-H123_O47
md_410k_snap_162.com	-801.903541813006	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O47
md_410k_snap_163.com	-801.6081756695849	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O47
md_410k_snap_164.com	-801.3421879392056	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O47
md_410k_snap_165.com	-801.4039891348441	N120-H122_O28,N19-H130_N115,O1-H123_O47
md_410k_snap_166.com	-802.1362373430933	N120-H122_O28,N19-H130_N115,O1-H123_O47
md_410k_snap_167.com	-804.9163899239317	N120-H122_O28,N19-H130_N115,O1-H123_O46,O1-H123_O47,O80-H128_O110
md_410k_snap_168.com	-803.9421351126738	N120-H122_O28,N19-H130_N115,O1-H123_O46,O1-H123_O47,O80-H128_O110
md_410k_snap_169.com	-803.2697218494021	N120-H122_O28,N19-H130_N115,O1-H123_O47,O80-H128_O110
md_410k_snap_170.com	-804.1848749027797	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_171.com	-803.9347102928593	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_172.com	-804.4362465085613	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_173.com	-804.314524167237	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_174.com	-804.6103253493526	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46,O80-H128_O78
md_410k_snap_175.com	-804.49854880477	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46,O80-H128_O78
md_410k_snap_176.com	-803.6936262256676	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46,O80-H128_O78
md_410k_snap_177.com	-805.2477730421554	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O110-H126_O46,O80-H128_O78
md_410k_snap_178.com	-804.797376390317	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O46,O1-H123_O47,O110-H126_O46,O80-H128_O78
md_410k_snap_179.com	-804.6585444978781	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O80-H128_O78
md_410k_snap_180.com	-803.1347908055545	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_181.com	-802.5141853763795	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_182.com	-802.8553593484224	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_183.com	-800.863821486029	N120-H122_O28,N19-H130_N115,N83-H88_N23,O1-H123_O47,O110-H126_O46
md_410k_snap_184.com	-804.3380481488911	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O46,O1-H123_O47,O110-H126_O46,O80-H128_O78
md_410k_snap_185.com	-801.8450599715003	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_186.com	-802.9136610642694	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_187.com	-802.7582680516539	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_188.com	-803.1901407262067	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_189.com	-801.9023813784407	N120-H122_O28,N19-H130_N115,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_190.com	-800.187540461287	N120-H122_O28,N19-H130_N115,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_191.com	-800.4272694876722	N120-H122_O28,N19-H130_N115,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_192.com	-801.3970483823045	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_193.com	-802.9675684066119	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_194.com	-804.0318728675502	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_195.com	-800.694262238787	N120-H122_O28,N19-H130_N115,O1-H123_O119,O110-H126_O46
md_410k_snap_196.com	-800.957674606909	N120-H122_O28,N19-H130_N115,O1-H123_O119,O110-H126_O46
md_410k_snap_197.com	-799.6468904348085	N120-H122_O28,N19-H130_N115,O1-H123_O119,O110-H126_O46
md_410k_snap_198.com	-802.2382166396837	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_199.com	-804.3021480682271	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_200.com	-802.888990317378	N120-H122_O28,O1-H123_O47,O110-H126_O46
md_610k_snap_1.com	-781.6799834194464	N83-H88_O47,O1-H123_O89,O48-H127_O79
md_610k_snap_2.com	-781.9875505390128	N83-H88_O47,O1-H123_O89,O48-H127_O79
md_610k_snap_3.com	-777.6872346265538	N83-H88_O47,O1-H123_O89,O48-H127_O79
md_610k_snap_4.com	-777.6293409929463	N83-H88_O47,O1-H123_O89,O48-H127_O79
md_610k_snap_5.com	-777.1519519352184	O1-H123_O89,O110-H126_O87,O48-H127_O79
md_610k_snap_6.com	-778.741373390356	O1-H123_O89,O110-H126_O87
md_610k_snap_7.com	-785.4151878132498	N83-H88_O47,O1-H123_O89,O110-H126_O87,O48-H127_O79
md_610k_snap_8.com	-786.1374911579146	N83-H88_O47,O1-H123_O89,O110-H126_O47,O110-H126_O87,O48-H127_O79
